time,pres,echo,temp,theta,sal,sigma,angle,flow,hzvel,vtvel,vol,net,fluor,ptran,oxygen,Irradcurrent,Irradiance,lat,lon,HaulNo,Cruise,WS_MOCFileName
153.949271,1.6,0,27.17,27.17,7.314,1.944,60,88,12.6,-2.94,600.3,0,0,0,0,0,0,24.8649,-80.4255,M4-032,OSTRICH 2014,4WM-A.PRO
153.949317,1.4,0,28.011,28.011,36.314,23.382,59,90,12.8,-2.56,614.9,0,0,0,0,0,0,24.865,-80.4256,M4-032,OSTRICH 2014,4WM-A.PRO
153.949363,1.7,0,28.009,28.009,36.3,23.372,56,90,12.8,-3.15,614.9,0,0,0,0,0,0,24.865,-80.4256,M4-032,OSTRICH 2014,4WM-A.PRO
153.94941,1.6,0,28.012,28.012,36.311,23.38,58,92,13.1,-2.96,630.1,0,0,0,0,0,0,24.8651,-80.4257,M4-032,OSTRICH 2014,4WM-A.PRO
153.949456,1.8,0,28.012,28.011,36.314,23.382,58,93,13.3,-3.36,638.1,0,0,0,0,0,0,24.8651,-80.4257,M4-032,OSTRICH 2014,4WM-A.PRO
153.949502,1.7,0,28.01,28.01,36.316,23.384,59,94,13.4,-3.17,646,0,0,0,0,0,0,24.8652,-80.4257,M4-032,OSTRICH 2014,4WM-A.PRO
153.949549,1.8,0,28.009,28.008,36.315,23.383,63,95,13.6,-3.36,653.2,0,0,0,0,0,0,24.8652,-80.4258,M4-032,OSTRICH 2014,4WM-A.PRO
153.949606,1.6,0,28.009,28.009,36.222,23.314,60,96,13.7,-2.98,660.8,0,0,0,0,0,0,24.8652,-80.4258,M4-032,OSTRICH 2014,4WM-A.PRO
153.949653,1.7,0,28.012,28.012,36.277,23.354,58,97,1.3,-0.23,668,0,0,0,0,0,0,24.8653,-80.4258,M4-032,OSTRICH 2014,4WM-A.PRO
153.949699,1.5,0,28.011,28.011,36.282,23.358,65,98,1.1,-0.23,674,0,0,0,0,0,0,24.8653,-80.4258,M4-032,OSTRICH 2014,4WM-A.PRO
153.949745,1.7,0,28.011,28.011,36.281,23.357,64,99,1.3,-0.03,680.1,0,0,0,0,0,0,24.8653,-80.4259,M4-032,OSTRICH 2014,4WM-A.PRO
153.949792,1.6,0,28.011,28.011,36.289,23.363,63,100,1.1,-0.03,686.4,0,0,0,0,0,0,24.8653,-80.4259,M4-032,OSTRICH 2014,4WM-A.PRO
153.949838,1.6,0,28.01,28.01,36.271,23.35,66,102,1.3,0.36,697.8,0,0,0,0,0,0,24.8654,-80.4259,M4-032,OSTRICH 2014,4WM-A.PRO
153.949884,1.8,0,28.01,28.01,36.282,23.358,67,103,1.3,-0.22,703.4,0,0,0,0,0,0,24.8654,-80.426,M4-032,OSTRICH 2014,4WM-A.PRO
153.949931,2.1,0,28.011,28.01,36.285,23.36,64,104,1.3,-0.62,709.7,0,0,0,0,0,0,24.8654,-80.426,M4-032,OSTRICH 2014,4WM-A.PRO
153.949977,2.1,0,28.009,28.008,36.288,23.363,65,106,1.4,-1.01,721.8,0,0,0,0,0,0,24.8654,-80.426,M4-032,OSTRICH 2014,4WM-A.PRO
153.950023,2.6,0,28.01,28.009,36.291,23.365,64,107,1.4,-1.79,728.4,0,0,0,0,0,0,24.8655,-80.4261,M4-032,OSTRICH 2014,4WM-A.PRO
153.950069,2.2,0,28.009,28.009,36.286,23.361,58,109,1.6,-1.4,743.1,0,0,0,0,0,0,24.8655,-80.4261,M4-032,OSTRICH 2014,4WM-A.PRO
153.950116,1.9,0,28.009,28.008,36.26,23.342,64,110,1.6,-0.42,749.3,0,0,0,0,0,0,24.8655,-80.4261,M4-032,OSTRICH 2014,4WM-A.PRO
153.950162,2.7,0,28.009,28.008,36.316,23.384,66,112,1.7,-1.98,761.3,0,0,0,0,0,0,24.8655,-80.4262,M4-032,OSTRICH 2014,4WM-A.PRO
153.950208,2,0,28.01,28.009,36.321,23.387,57,113,1.6,-0.81,768.9,0,0,0,0,0,0,24.8655,-80.4262,M4-032,OSTRICH 2014,4WM-A.PRO
153.950255,3.3,0,28.01,28.009,36.321,23.388,66,115,1.7,-2.76,781.1,0,0,0,0,0,0,24.8655,-80.4262,M4-032,OSTRICH 2014,4WM-A.PRO
153.950301,3.5,0,28.008,28.007,36.324,23.39,62,118,2,-2.57,801.2,0,0,0,0,0,0,24.8655,-80.4263,M4-032,OSTRICH 2014,4WM-A.PRO
153.950347,4.5,0,28.007,28.006,36.325,23.392,67,119,1.9,-4.52,808,0,0,0,0,0,0,24.8656,-80.4263,M4-032,OSTRICH 2014,4WM-A.PRO
153.950394,5.9,0,28.004,28.003,36.326,23.394,61,121,2,-6.08,823,0,0,0,0,0,0,24.8656,-80.4263,M4-032,OSTRICH 2014,4WM-A.PRO
153.95044,6,0,28.006,28.005,36.326,23.393,58,124,2.1,-7.05,846.4,0,0,0,0,0,0,24.8656,-80.4263,M4-032,OSTRICH 2014,4WM-A.PRO
153.950486,6.8,0,28.007,28.005,36.327,23.394,61,125,2.1,-9.2,855.5,0,0,0,0,0,0,24.8656,-80.4263,M4-032,OSTRICH 2014,4WM-A.PRO
153.950532,7.2,0,28.007,28.005,36.329,23.395,57,128,2.3,-8.61,879.8,0,0,0,0,0,0,24.8656,-80.4263,M4-032,OSTRICH 2014,4WM-A.PRO
153.950579,7.1,0,28.009,28.008,36.329,23.394,58,130,2.4,-9.59,896.8,0,0,0,0,0,0,24.8657,-80.4263,M4-032,OSTRICH 2014,4WM-A.PRO
153.950625,7.9,0,28.01,28.008,36.329,23.394,58,132,2.4,-8.62,913.4,0,0,0,0,0,0,24.8657,-80.4264,M4-032,OSTRICH 2014,4WM-A.PRO
153.950671,7.8,0,28.009,28.007,36.33,23.395,58,134,2.3,-8.03,929.9,0,0,0,0,0,0,24.8657,-80.4264,M4-032,OSTRICH 2014,4WM-A.PRO
153.950718,9,0,28.008,28.006,36.33,23.395,58,136,2.4,-8.42,946.5,0,0,0,0,0,0,24.8657,-80.4264,M4-032,OSTRICH 2014,4WM-A.PRO
153.950764,8.6,0,28.007,28.005,36.33,23.396,54,139,2.6,-5.1,971.3,0,0,0,0,0,0,24.8657,-80.4264,M4-032,OSTRICH 2014,4WM-A.PRO
153.95081,9,0,28.004,28.002,36.331,23.397,60,140,2.3,-5.69,979.7,0,0,0,0,0,0,24.8658,-80.4265,M4-032,OSTRICH 2014,4WM-A.PRO
153.950856,9.4,0,28.005,28.002,36.331,23.397,56,142,2.4,-4.9,996,0,0,0,0,0,0,24.8658,-80.4265,M4-032,OSTRICH 2014,4WM-A.PRO
153.950903,9.3,0,28.006,28.004,36.33,23.396,60,145,2.4,-3.93,1017.5,0,0,0,0,0,0,24.8658,-80.4265,M4-032,OSTRICH 2014,4WM-A.PRO
153.950949,9.9,0,28.001,27.999,36.332,23.399,57,147,2.4,-5.1,1033.6,0,0,0,0,0,0,24.8658,-80.4265,M4-032,OSTRICH 2014,4WM-A.PRO
153.950995,9.5,0,28.001,27.998,36.332,23.4,56,149,2.4,-2.95,1049.4,0,0,0,0,0,0,24.8658,-80.4265,M4-032,OSTRICH 2014,4WM-A.PRO
153.951042,9.9,0,28.002,27.999,36.332,23.399,59,152,2.6,-3.93,1071.4,0,0,0,0,0,0,24.8658,-80.4266,M4-032,OSTRICH 2014,4WM-A.PRO
153.951088,10.3,0,28.002,27.999,36.332,23.399,60,154,2.6,-2.37,1085.6,0,0,0,0,0,0,24.8659,-80.4266,M4-032,OSTRICH 2014,4WM-A.PRO
153.951134,11,0,28.004,28.001,36.332,23.398,60,156,2.4,-4.51,1100.5,0,0,0,0,0,0,24.8659,-80.4266,M4-032,OSTRICH 2014,4WM-A.PRO
153.951181,11.1,0,28.006,28.003,36.331,23.397,56,159,2.7,-3.93,1124.1,0,0,0,0,0,0,24.8659,-80.4266,M4-032,OSTRICH 2014,4WM-A.PRO
153.951227,11.5,0,28.007,28.004,36.331,23.397,60,161,2.7,-3.93,1138.7,0,0,0,0,0,0,24.8659,-80.4267,M4-032,OSTRICH 2014,4WM-A.PRO
153.951273,12.2,0,28.007,28.004,36.331,23.397,57,163,2.6,-5.29,1154.8,0,0,0,0,0,0,24.8659,-80.4267,M4-032,OSTRICH 2014,4WM-A.PRO
153.951319,12.3,0,28.006,28.003,36.333,23.399,58,166,2.7,-4.51,1177.5,0,0,0,0,0,0,24.8659,-80.4267,M4-032,OSTRICH 2014,4WM-A.PRO
153.951366,12.3,0,28.007,28.004,36.333,23.398,59,168,2.7,-5.29,1192.9,0,0,0,0,0,0,24.866,-80.4267,M4-032,OSTRICH 2014,4WM-A.PRO
153.951412,13.1,0,28.004,28.001,36.334,23.4,58,170,2.6,-6.07,1208.9,0,0,0,0,0,0,24.866,-80.4267,M4-032,OSTRICH 2014,4WM-A.PRO
153.951458,13.3,0,27.994,27.991,36.339,23.407,58,172,2.6,-5.68,1224.8,0,0,0,0,0,0,24.866,-80.4268,M4-032,OSTRICH 2014,4WM-A.PRO
153.951505,13.8,0,27.993,27.99,36.337,23.406,57,175,2.7,-5.29,1248.2,0,0,0,0,0,0,24.866,-80.4268,M4-032,OSTRICH 2014,4WM-A.PRO
153.951551,14.2,0,27.995,27.992,36.334,23.403,58,177,2.6,-5.68,1264,0,0,0,0,0,0,24.866,-80.4268,M4-032,OSTRICH 2014,4WM-A.PRO
153.951597,14.5,0,27.999,27.995,36.333,23.401,57,179,2.6,-5.49,1280.2,0,0,0,0,0,0,24.866,-80.4268,M4-032,OSTRICH 2014,4WM-A.PRO
153.951644,14.8,0,27.992,27.988,36.337,23.407,59,182,2.7,-4.9,1302.4,0,0,0,0,0,0,24.8661,-80.4268,M4-032,OSTRICH 2014,4WM-A.PRO
153.95169,15.3,0,27.987,27.983,36.337,23.408,59,184,2.6,-5.68,1318,0,0,0,0,0,0,24.8661,-80.4268,M4-032,OSTRICH 2014,4WM-A.PRO
153.951736,15.9,0,27.989,27.985,36.335,23.406,57,186,2.6,-6.85,1334.5,0,0,0,0,0,0,24.8661,-80.4269,M4-032,OSTRICH 2014,4WM-A.PRO
153.951782,15.9,0,27.987,27.983,36.336,23.408,61,188,2.6,-5.29,1349.2,0,0,0,0,0,0,24.8661,-80.4269,M4-032,OSTRICH 2014,4WM-A.PRO
153.951829,16.6,0,27.983,27.979,36.337,23.41,58,190,2.6,-6.07,1365.2,0,0,0,0,0,0,24.8661,-80.4269,M4-032,OSTRICH 2014,4WM-A.PRO
153.951875,17.1,0,27.972,27.968,36.342,23.417,56,193,2.6,-6.07,1389.3,0,0,0,0,0,0,24.8662,-80.4269,M4-032,OSTRICH 2014,4WM-A.PRO
153.951921,17,0,27.958,27.954,36.343,23.422,55,195,2.6,-5.29,1406,0,0,0,0,0,0,24.8662,-80.427,M4-032,OSTRICH 2014,4WM-A.PRO
153.951968,17.6,0,27.946,27.942,36.339,23.423,60,197,2.6,-5.88,1421.3,0,0,0,0,0,0,24.8662,-80.427,M4-032,OSTRICH 2014,4WM-A.PRO
153.952014,18,0,27.949,27.944,36.339,23.422,58,199,2.4,-6.07,1437.2,0,0,0,0,0,0,24.8662,-80.427,M4-032,OSTRICH 2014,4WM-A.PRO
153.95206,18.9,0,27.946,27.942,36.34,23.424,59,201,2.4,-6.65,1453,0,0,0,0,0,0,24.8662,-80.427,M4-032,OSTRICH 2014,4WM-A.PRO
153.952106,19.2,0,27.929,27.924,36.344,23.433,57,203,2.4,-6.07,1469.3,0,0,0,0,0,0,24.8663,-80.427,M4-032,OSTRICH 2014,4WM-A.PRO
153.952153,19.3,0,27.905,27.901,36.342,23.439,61,205,2.4,-6.27,1484.3,0,0,0,0,0,0,24.8663,-80.4271,M4-032,OSTRICH 2014,4WM-A.PRO
153.952199,20.2,0,27.887,27.882,36.348,23.45,56,207,2.4,-6.85,1501.1,0,0,0,0,0,0,24.8663,-80.4271,M4-032,OSTRICH 2014,4WM-A.PRO
153.952245,19.9,0,27.886,27.881,36.345,23.448,55,210,2.4,-5.29,1525.5,0,0,0,0,0,0,24.8663,-80.4271,M4-032,OSTRICH 2014,4WM-A.PRO
153.952292,20.6,0,27.889,27.884,36.343,23.446,58,212,2.4,-6.85,1541.7,0,0,0,0,0,0,24.8663,-80.4271,M4-032,OSTRICH 2014,4WM-A.PRO
153.952338,21.2,0,27.874,27.869,36.347,23.453,56,214,2.4,-6.65,1558.5,0,0,0,0,0,0,24.8664,-80.4271,M4-032,OSTRICH 2014,4WM-A.PRO
153.952384,21.5,0,27.857,27.852,36.357,23.466,60,216,2.4,-6.46,1573.9,0,0,0,0,0,0,24.8664,-80.4271,M4-032,OSTRICH 2014,4WM-A.PRO
153.952431,21.9,0,27.832,27.826,36.356,23.474,56,218,2.4,-5.68,1590.4,0,0,0,0,0,0,24.8664,-80.4272,M4-032,OSTRICH 2014,4WM-A.PRO
153.952477,22.2,0,27.791,27.786,36.37,23.498,57,220,2.4,-5.68,1606.6,0,0,0,0,0,0,24.8664,-80.4272,M4-032,OSTRICH 2014,4WM-A.PRO
153.952523,22.6,0,27.765,27.76,36.363,23.501,60,222,2.4,-6.26,1621.9,0,0,0,0,0,0,24.8664,-80.4272,M4-032,OSTRICH 2014,4WM-A.PRO
153.952569,23.2,0,27.741,27.735,36.362,23.508,57,224,2.4,-5.68,1638.1,0,0,0,0,0,0,24.8664,-80.4272,M4-032,OSTRICH 2014,4WM-A.PRO
153.952616,24.2,0,27.601,27.596,36.335,23.534,56,226,2.3,-8.02,1655.3,0,0,0,0,0,0,24.8665,-80.4272,M4-032,OSTRICH 2014,4WM-A.PRO
153.952662,24.2,0,27.225,27.219,36.437,23.732,56,229,2.4,-6.65,1679.5,0,0,0,0,0,0,24.8665,-80.4273,M4-032,OSTRICH 2014,4WM-A.PRO
153.952708,24.9,0,26.905,26.899,36.364,23.78,60,230,2.3,-7.05,1688.3,0,0,0,0,0,0,24.8665,-80.4273,M4-032,OSTRICH 2014,4WM-A.PRO
153.952755,25.2,0,26.811,26.806,36.447,23.872,54,232,2.3,-7.05,1705.8,0,0,0,0,0,0,24.8665,-80.4273,M4-032,OSTRICH 2014,4WM-A.PRO
153.952801,24.9,0,26.771,26.766,36.405,23.854,59,235,2.4,-5.68,1728.3,0,0,0,0,0,0,24.8665,-80.4273,M4-032,OSTRICH 2014,4WM-A.PRO
153.952859,25.5,0,26.745,26.74,36.42,23.873,56,236,2.3,-6.26,1737.5,0,0,0,0,0,0,24.8666,-80.4274,M4-032,OSTRICH 2014,4WM-A.PRO
153.952905,25.4,0,26.738,26.732,36.419,23.875,55,239,2.4,-5.28,1761.9,0,0,0,0,0,0,24.8666,-80.4274,M4-032,OSTRICH 2014,4WM-A.PRO
153.952951,26.2,0,26.733,26.727,36.428,23.883,56,241,2.4,-5.48,1778.4,0,0,0,0,0,0,24.8666,-80.4274,M4-032,OSTRICH 2014,4WM-A.PRO
153.952998,26.1,0,26.733,26.728,36.42,23.877,56,243,2.4,-3.53,1794.3,0,0,0,0,0,0,24.8666,-80.4274,M4-032,OSTRICH 2014,4WM-A.PRO
